issuerTradingSymbol,date,close
BJRI,2023-08-07,35.89
BJRI,2023-08-08,34.01
BJRI,2023-08-09,34.0
BJRI,2023-08-10,34.14
BJRI,2023-08-11,33.71
BJRI,2023-08-14,33.52
BJRI,2023-08-15,32.89
BJRI,2023-08-16,32.23
BJRI,2023-08-17,30.91
BJRI,2023-08-18,30.22
BJRI,2023-08-21,30.05
BJRI,2023-08-22,30.33
BJRI,2023-08-23,30.79
BJRI,2023-08-24,29.78
BJRI,2023-08-25,29.64
BJRI,2023-08-28,29.53
BJRI,2023-08-29,29.58
BJRI,2023-08-30,29.54
BJRI,2023-08-31,29.41
BJRI,2023-09-01,29.53
BJRI,2023-09-05,28.39
BJRI,2023-09-06,28.08
BJRI,2023-09-07,27.93
BJRI,2023-09-08,28.25
BJRI,2023-09-11,27.59
BJRI,2023-09-12,27.63
BJRI,2023-09-13,26.89
BJRI,2023-09-14,27.42
BJRI,2023-09-15,26.7
BJRI,2023-09-18,25.79
BJRI,2023-09-19,25.71
BJRI,2023-09-20,25.42
BJRI,2023-09-21,24.35
BJRI,2023-09-22,23.59
BJRI,2023-09-25,23.25
BJRI,2023-09-26,22.77
BJRI,2023-09-27,22.83
BJRI,2023-09-28,23.67
BJRI,2023-09-29,23.46
BJRI,2023-10-02,23.21
BJRI,2023-10-03,22.45
BJRI,2023-10-04,23.11
BJRI,2023-10-05,23.2
BJRI,2023-10-06,23.1
BJRI,2023-10-09,23.34
BJRI,2023-10-10,23.34
BJRI,2023-10-11,23.15
BJRI,2023-10-12,21.99
BJRI,2023-10-13,22.27
BJRI,2023-10-16,22.46
BJRI,2023-10-17,23.935
BJRI,2023-10-18,24.08
BJRI,2023-10-19,24.04
BJRI,2023-10-20,24.04
BJRI,2023-10-23,23.99
BJRI,2023-10-24,24.02
BJRI,2023-10-25,23.87
BJRI,2023-10-26,23.57
BJRI,2023-10-27,25.61
BJRI,2023-10-30,25.53
BJRI,2023-10-31,25.72
BJRI,2023-11-01,26.22
BJRI,2023-11-02,27.05
BJRI,2023-11-03,28.19
BJRI,2023-11-06,27.74
BJRI,2023-11-07,27.39
BJRI,2023-11-08,27.16
BJRI,2023-11-09,26.96
BJRI,2023-11-10,27.01
BJRI,2023-11-13,27.26
BJRI,2023-11-14,29.31
BJRI,2023-11-15,30.78
BJRI,2023-11-16,30.59
BJRI,2023-11-17,30.76
BJRI,2023-11-20,30.88
BJRI,2023-11-21,30.77
BJRI,2023-11-22,30.77
BJRI,2023-11-24,30.64
BJRI,2023-11-27,30.34
BJRI,2023-11-28,30.04
BJRI,2023-11-29,30.3
BJRI,2023-11-30,29.93
BJRI,2023-12-01,30.86
BJRI,2023-12-04,31.3
BJRI,2023-12-05,31.08
NRG,2022-12-06,34.68
NRG,2022-12-07,33.14
NRG,2022-12-08,32.18
NRG,2022-12-09,32.28
NRG,2022-12-12,32.67
NRG,2022-12-13,33.41
NRG,2022-12-14,32.47
NRG,2022-12-15,31.85
NRG,2022-12-16,31.05
NRG,2022-12-19,31.54
NRG,2022-12-20,31.66
NRG,2022-12-21,32.42
NRG,2022-12-22,31.89
NRG,2022-12-23,31.91
NRG,2022-12-27,32.24
NRG,2022-12-28,31.86
NRG,2022-12-29,32.4
NRG,2022-12-30,31.82
NRG,2023-01-03,31.93
NRG,2023-01-04,32.09
NRG,2023-01-05,31.75
NRG,2023-01-06,32.2
NRG,2023-01-09,32.64
NRG,2023-01-10,32.86
NRG,2023-01-11,32.29
NRG,2023-01-12,32.62
NRG,2023-01-13,31.88
NRG,2023-01-17,32.15
NRG,2023-01-18,31.63
NRG,2023-01-19,31.03
NRG,2023-01-20,32.21
NRG,2023-01-23,32.42
NRG,2023-01-24,32.9
NRG,2023-01-25,33.15
NRG,2023-01-26,33.49
NRG,2023-01-27,33.75
NRG,2023-01-30,33.55
NRG,2023-01-31,34.22
NRG,2023-02-01,34.6
NRG,2023-02-02,34.95
NRG,2023-02-03,34.43
